Ссылочный номер|Name|Product Name|Url|Описание|Материал|Цвет|стандарты|IMAGE URL|db|Subcategory|Category|Child|Subchild|Хлебная крошка|Исполнение|Размер|Power|Power SBL (self-ballasted lamps)|Количество|Серия|Height above surface|Номинальное напряжение|Размеры (&#216; x В)|Частота сети|Rated current, socket|Выходное напряжение USB|Выходной ток USB (общий)|Stand-by power|Ambient temperature|Stora/transport temperature|Degree of protection|Способ присоединения|одножильный провод|многожильный без наконечника|Разница переключения|Измерительная толерантность|Контакт|Длина нагрузки кабеля (&ge; 1,5 мм2)|Диапазон контроля
LS 1520-15 CA|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Thermoplastic (breakproof) high-gloss|слоновая кость||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CA.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
LS 1520-15 CA WW|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Thermoplastic (breakproof) high-gloss|белый||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CAWW.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
LS 1520-15 CA LG|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Thermoplastic (breakproof) high-gloss|светло-серый||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CALG.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
LS 1520-15 CA SW|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Thermoplastic (breakproof) high-gloss|чёрный||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CASW.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
LS 1520-15 CA WWM|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|матовое исполнение, лакиров|белоснежный матовый||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CAWWM.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
LS 1520-15 CA SWM|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|матовое исполнение, лакиров|матовый чёрный графит||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_LS1520-15CASWM.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
AL 1520-15 CA-L|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Цвета металла (термопласт лакиров.)|алюминий||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_AL1520-15CA-L.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
ES 1520-15 CA-L|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Цвета металла (термопласт лакиров.)|нержавеющая сталь||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_ES1520-15CA-L.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
AL 1520-15 CA AN-L|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Цвета металла (термопласт лакиров.)|антрацит||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_AL1520-15CAAN-L.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
AL 1520-15 CA D-L|SCHUKO® socket with USB charger|SCHUKO® socket with USB charger|https://www.jung.de/ru/online-catalogue/1085824788/1085824797/|"<div class=""product-description-text"">
<b>with enhanced contact protection / shutter (Safety Plus)</b><br/>
с 1 гнездо USB типа A и 1 гнездо USB типа C<br/>
with screwless terminals for rigid and untreated flexible wires up to 2.5 mm<sup>2</sup><br/>
 <br/>
установка в монтажной коробке с размерами согласно DIN 49073<br/>
depth of flush box (inner dimension): min. 57 mm            						</div>"|Цвета металла (термопласт лакиров.)|dark||https://downloads.jung.de/catalogue/images/800x800_png/JUNG_AL1520-15CAD-L.png|ОБЗОР|Крышки и изделия|Серия LS|Розетки|SCHUKO®|SCHUKO® socket with USB charger, port type C+A||||||||AC 220 ... 250 В ~||50/60 Гц|16 A|5 B DC|3 A|&leq; 25 мВт|+5 ... +35 °C|-20 ... +70 °C|IP 20|screwless terminals|1,5 ... 2,5 мм&sup2;|1,5 ... 2,5 мм&sup2;|||||
